---Example Data---
NASDAQ 100,Last: 11706.4395,Change:  143.1395
"Date: December 12, 2022 at 8:31 PM EST",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Dec 12 2022,NDXP221212C11150000,0,0,532,581,0,0.02,0,0,0,11150.00,NDXP221212P11150000,0.05,-0.95,0,0.55,27,2.0338,0,0,44
Mon Dec 12 2022,NDXP221212C11160000,0,0,522,571,0,0.02,0,0,0,11160.00,NDXP221212P11160000,0,0,0,0.55,0,1.9989,0,0,0
Mon Dec 12 2022,NDXP221212C11170000,0,0,512,561,0,0.02,0,0,0,11170.00,NDXP221212P11170000,0.7,-0.425,0,0.55,1,1.9658,0,0,5
Mon Dec 12 2022,NDXP221212C11175000,0,0,505,553.9,0,0.02,0,0,0,11175.00,NDXP221212P11175000,1.37,0,0,0.55,0,1.9488,0,0,64
Mon Dec 12 2022,NDXP221212C11180000,0,0,502,551,0,0.02,0,0,0,11180.00,NDXP221212P11180000,0,0,0,0.55,0,1.9318,0,0,0
Mon Dec 12 2022,NDXP221212C11190000,0,0,492,541,0,0.02,0,0,0,11190.00,NDXP221212P11190000,1.53,0,0,0.55,0,1.8971,0,0,1
Mon Dec 12 2022,NDXP221212C11200000,0,0,480,528.9,0,0.02,0,0,0,11200.00,NDXP221212P11200000,0.5,-0.825,0,0.05,30,1.4846,0,0,95
Mon Dec 12 2022,NDXP221212C11210000,0,0,470,518.9,0,0.02,0,0,0,11210.00,NDXP221212P11210000,0,0,0,0.55,0,1.8317,0,0,0
Mon Dec 12 2022,NDXP221212C11220000,0,0,462,511,0,0.02,0,0,0,11220.00,NDXP221212P11220000,0.87,-0.68,0,0.55,1,1.7976,0,0,2
Mon Dec 12 2022,NDXP221212C11225000,0,0,457,506,0,0.02,0,0,0,11225.00,NDXP221212P11225000,2.4,0,0,0.05,0,1.4121,0,0,11
Mon Dec 12 2022,NDXP221212C11230000,0,0,452,501,0,0.02,0,0,0,11230.00,NDXP221212P11230000,0,0,0,0.55,0,1.7641,0,0,0
Mon Dec 12 2022,NDXP221212C11240000,0,0,442,491,0,0.02,0,0,0,11240.00,NDXP221212P11240000,0.14,-1.91,0,0.55,32,1.7141,0,0,1
Mon Dec 12 2022,NDXP221212C11250000,0,0,432,481,0,0.02,0,0,0,11250.00,NDXP221212P11250000,0.96,-1.165,0,0.05,1,1.3418,0,0,29
Mon Dec 12 2022,NDXP221212C11260000,0,0,422,471,0,0.02,0,0,0,11260.00,NDXP221212P11260000,0.78,-1.445,0,0.55,100,1.6634,0,0,19
Mon Dec 12 2022,NDXP221212C11270000,0,0,412,461,0,0.02,0,0,0,11270.00,NDXP221212P11270000,0.63,-1.77,0,0.55,4,1.6296,0,0,4
Mon Dec 12 2022,NDXP221212C11275000,0,0,407,456,0,0.02,0,0,0,11275.00,NDXP221212P11275000,0.62,-1.93,0,0.05,2,1.2732,0,0,18
